user_id,group,day,session,block_id,abs_accuracy,abs_resptime,abs_focus,abs_anxiety,rela_0_accuracy,rela_0_resptime,rela_1_accuracy,rela_1_resptime,rela_focus,rela_anxiety
40.0,static,d2,formal,3,0.88333333,6.7748409,6.5,2.0,,,-0.06848485,-0.11382032,-0.5,1.0
40.0,static,d2,formal,4,0.91666667,5.71385776,6.0,2.0,,,-0.03333333,-0.25260169,-1.0,1.0
40.0,static,d2,formal,5,0.93333333,6.97884098,5.5,2.5,,,-0.01575758,-0.08713619,-1.5,1.5
8.0,static,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
8.0,static,d1,formal,1,0.96610169,5.21948289,6.01694915,6.0,,,0.0,0.0,0.0,0.0
8.0,static,d1,formal,2,0.91666667,5.16836664,7.0,6.5,,,-0.05116958,-0.00979336,0.98305085,0.5
8.0,static,d1,formal,3,0.98333333,5.47274307,5.0,6.0,,,0.01783626,0.04852208,-1.01694915,0.0
8.0,static,d1,formal,4,0.91666667,4.82351699,5.0,6.5,,,-0.05116958,-0.07586305,-1.01694915,0.5
8.0,static,d1,formal,5,0.98333333,4.82616139,4.0,6.5,,,0.01783626,-0.07535641,-2.01694915,0.5
8.0,static,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
8.0,static,d2,formal,1,0.93220339,6.70390677,6.0,5.50847458,,,0.0,0.0,0.0,0.0
8.0,static,d2,formal,2,0.98305085,4.34275603,6.0,6.0,,,0.05454546,-0.35220519,0.0,0.49152542
8.0,static,d2,formal,3,0.96666667,4.47829868,6.0,5.5,,,0.0369697,-0.33198673,0.0,-0.00847458
8.0,static,d2,formal,4,0.91666667,4.58777801,6.0,5.5,,,-0.01666666,-0.31565605,0.0,-0.00847458
8.0,static,d2,formal,5,0.98305085,4.26609593,6.0,5.50847458,,,0.05454546,-0.36364033,0.0,0.0
13.0,static,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
13.0,static,d1,formal,1,1.0,6.48701659,6.0,7.0,,,0.0,0.0,0.0,0.0
13.0,static,d1,formal,2,0.98333333,6.53325472,6.5,7.0,,,-0.01666667,0.0071278,0.5,0.0
13.0,static,d1,formal,3,1.0,6.40501624,7.0,6.5,,,0.0,-0.01264069,1.0,-0.5
13.0,static,d1,formal,4,1.0,6.38509802,6.0,7.0,,,0.0,-0.01571116,0.0,0.0
13.0,static,d1,formal,5,1.0,6.81185414,6.5,6.0,,,0.0,0.05007503,0.5,-1.0
13.0,static,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
13.0,static,d2,formal,1,1.0,6.25967519,6.50847458,5.0,,,0.0,0.0,0.0,0.0
13.0,static,d2,formal,2,0.96666667,6.19267528,7.0,4.5,,,-0.03333333,-0.01070342,0.49152542,-0.5
13.0,static,d2,formal,3,0.96666667,6.2740296,7.0,5.0,,,-0.03333333,0.00229316,0.49152542,0.0
13.0,static,d2,formal,4,1.0,6.32218211,6.5,5.0,,,0.0,0.00998565,-0.00847458,0.0
13.0,static,d2,formal,5,0.98333333,6.29419727,6.0,6.0,,,-0.01666667,0.005515,-0.50847458,1.0
17.0,static,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
17.0,static,d1,formal,1,0.98305085,4.35235038,6.0,2.0,,,0.0,0.0,0.0,0.0
17.0,static,d1,formal,2,0.96666667,4.43185586,6.0,2.0,,,-0.01666667,0.01826725,0.0,0.0
17.0,static,d1,formal,3,0.95,3.99803898,6.0,2.0,,,-0.03362069,-0.08140691,0.0,0.0
17.0,static,d1,formal,4,0.98333333,3.76078503,6.0,2.0,,,0.00028735,-0.1359186,0.0,0.0
17.0,static,d1,formal,5,0.9,4.17028068,6.0,2.0,,,-0.08448276,-0.0418325,0.0,0.0
17.0,static,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
17.0,static,d2,formal,1,0.94915254,3.93264806,6.0,2.0,,,0.0,0.0,0.0,0.0
17.0,static,d2,formal,2,0.96666667,3.63476992,6.0,2.0,,,0.01845239,-0.07574493,0.0,0.0
17.0,static,d2,formal,3,0.96666667,3.81114902,6.0,2.0,,,0.01845239,-0.03089497,0.0,0.0
17.0,static,d2,formal,4,0.98333333,4.46849742,6.0,2.0,,,0.0360119,0.13625663,0.0,0.0
17.0,static,d2,formal,5,1.0,3.90306979,6.0,2.0,,,0.05357143,-0.00752121,0.0,0.0
22.0,static,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
22.0,static,d1,formal,1,1.0,7.76379,6.0,5.0,,,0.0,0.0,0.0,0.0
22.0,static,d1,formal,2,0.96666667,7.46335565,5.5,4.0,,,-0.03333333,-0.03869687,-0.5,-1.0
22.0,static,d1,formal,3,0.96666667,8.78089863,5.0,4.5,,,-0.03333333,0.13100672,-1.0,-0.5
22.0,static,d1,formal,4,0.96666667,6.36837504,5.0,4.0,,,-0.03333333,-0.17973373,-1.0,-1.0
22.0,static,d1,formal,5,0.94915254,7.45797446,4.52542373,4.0,,,-0.05084746,-0.03938998,-1.47457627,-1.0
22.0,static,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
22.0,static,d2,formal,1,1.0,9.07397524,4.50847458,3.49152542,,,0.0,0.0,0.0,0.0
22.0,static,d2,formal,2,0.98333333,6.95756846,5.5,3.0,,,-0.01666667,-0.23323921,0.99152542,-0.49152542
22.0,static,d2,formal,3,0.94915254,5.84298774,5.50847458,3.0,,,-0.05084746,-0.35607189,1.0,-0.49152542
22.0,static,d2,formal,4,0.98333333,5.6105152,4.5,2.5,,,-0.01666667,-0.38169159,-0.00847458,-0.99152542
22.0,static,d2,formal,5,0.93333333,5.18166913,5.5,2.0,,,-0.06666667,-0.42895269,0.99152542,-1.49152542
23.0,static,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
23.0,static,d1,formal,1,0.96610169,6.42023313,6.0,4.50847458,,,0.0,0.0,0.0,0.0
23.0,static,d1,formal,2,0.95,5.99855728,5.5,5.0,,,-0.01666666,-0.06567921,-0.5,0.49152542
23.0,static,d1,formal,3,0.98333333,6.72633095,5.5,5.0,,,0.01783626,0.04767706,-0.5,0.49152542
23.0,static,d1,formal,4,0.98333333,5.96933432,4.5,5.0,,,0.01783626,-0.07023091,-1.5,0.49152542
23.0,static,d1,formal,5,1.0,7.07475136,4.0,5.0,,,0.03508772,0.10194618,-2.0,0.49152542
23.0,static,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
23.0,static,d2,formal,1,0.98305085,6.48852652,5.0,3.0,,,0.0,0.0,0.0,0.0
23.0,static,d2,formal,2,0.96666667,7.35072218,4.5,4.0,,,-0.01666667,0.13288004,-0.5,1.0
23.0,static,d2,formal,3,1.0,7.5107212,4.0,4.5,,,0.01724138,0.1575388,-1.0,1.5
23.0,static,d2,formal,4,0.96666667,6.91620046,4.0,4.5,,,-0.01666667,0.06591234,-1.0,1.5
23.0,static,d2,formal,5,0.98333333,5.88899833,3.5,4.5,,,0.00028735,-0.0923982,-1.5,1.5
30.0,static,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
30.0,static,d1,formal,1,0.98333333,6.59437172,6.5,4.0,,,0.0,0.0,0.0,0.0
30.0,static,d1,formal,2,1.0,6.50931242,6.0,3.5,,,0.01694916,-0.01289877,-0.5,-0.5
30.0,static,d1,formal,3,1.0,6.77521456,5.5,4.0,,,0.01694916,0.02742382,-1.0,0.0
30.0,static,d1,formal,4,1.0,6.95187971,5.5,4.0,,,0.01694916,0.05421411,-1.0,0.0
30.0,static,d1,formal,5,1.0,6.71475214,4.49152542,5.0,,,0.01694916,0.01825502,-2.00847458,1.0
